OBJECTID,Planning Region,ARC Modeling Area,Geographic ID for geographic unit,Logical record number,Summary level of geographic unit,Geography Vintage,Name of geographic unit,"# Total population, 2021","# Total population, 2021 (MOE)","# Area, square miles, 2021","Population density (people per square mile), 2021",Shape__Area,Shape__Length
1207,Atlanta Regional Commission,Yes,13117130610,2218,Tract,2020,"Census Tract 1306.10, Forsyth County",6201,726,4.083065,1518.7,113776408.312256,67633.8086059943
1208,Atlanta Regional Commission,Yes,13117130603,2211,Tract,2020,"Census Tract 1306.03, Forsyth County",8877,960,5.963205,1488.6,166168683.016113,61093.5749600801
1209,Northeast Georgia,No,13059000600,1403,Tract,2020,"Census Tract 6, Clarke County",3043,678,0.521575,5834.3,14535385.7004395,18918.7265791292
1210,Northeast Georgia,No,13059000900,1404,Tract,2020,"Census Tract 9, Clarke County",4047,736,0.959663,4217.1,26743921.8464355,33530.4769167097
1211,Northeast Georgia,No,13059001700,1406,Tract,2020,"Census Tract 17, Clarke County",2009,347,1.352252,1485.7,37684483.5209961,28209.776525476
1212,Northeast Georgia,No,13059001800,1407,Tract,2020,"Census Tract 18, Clarke County",2246,330,0.805094,2789.7,22436457.9694824,20937.651246592
1213,Northeast Georgia,No,13059001900,1408,Tract,2020,"Census Tract 19, Clarke County",3215,402,1.161165,2768.8,32359689.7001953,34772.7785454921
1214,Northeast Georgia,No,13059002100,1410,Tract,2020,"Census Tract 21, Clarke County",4199,482,0.646038,6499.6,18003904.1159668,24193.8875419476
1215,Atlanta Regional Commission,Yes,13067030278,1557,Tract,2020,"Census Tract 302.78, Cobb County",6749,887,5.071622,1330.7,141326465.899414,61729.8851923174
1216,Atlanta Regional Commission,Yes,13067030511,1615,Tract,2020,"Census Tract 305.11, Cobb County",3898,423,1.684889,2313.5,46950285.1884766,29263.0119752088
1217,Atlanta Regional Commission,Yes,13067030509,1613,Tract,2020,"Census Tract 305.09, Cobb County",3877,531,1.366878,2836.4,38088848.3486328,36812.5880434181
1218,Atlanta Regional Commission,Yes,13067031216,1653,Tract,2020,"Census Tract 312.16, Cobb County",2877,637,0.547611,5253.7,15259048.9462891,17901.2002247447
1219,Atlanta Regional Commission,Yes,13067031411,1675,Tract,2020,"Census Tract 314.11, Cobb County",4060,837,2.297359,1767.2,64016703.7416992,49524.9932387028
1220,Atlanta Regional Commission,Yes,13067030906,1621,Tract,2020,"Census Tract 309.06, Cobb County",4227,823,1.946617,2171.5,54243503.8349609,39080.9967987217
1221,Atlanta Regional Commission,Yes,13067030248,1527,Tract,2020,"Census Tract 302.48, Cobb County",6468,1693,2.681424,2412.2,74720649.3422852,38768.3749667049
1222,Atlanta Regional Commission,Yes,13067030369,1598,Tract,2020,"Census Tract 303.69, Cobb County",3465,781,1.256032,2758.7,34999717.6318359,27110.3047419963
1223,Atlanta Regional Commission,Yes,13067030354,1583,Tract,2020,"Census Tract 303.54, Cobb County",4450,547,2.38638,1864.7,66496413.546875,37104.6808571874
1224,Southern Georgia,No,13069010801,1703,Tract,2020,"Census Tract 108.01, Coffee County",4925,868,34.104122,144.4,950180561.214355,168508.678554837
1225,Atlanta Regional Commission,Yes,13117130506,2203,Tract,2020,"Census Tract 1305.06, Forsyth County",3662,440,4.123024,888.2,114893912.870605,76330.091579496
1226,Atlanta Regional Commission,Yes,13117130104,2178,Tract,2020,"Census Tract 1301.04, Forsyth County",4169,458,11.443622,364.3,318898008.5625,90409.3037626589
1227,Atlanta Regional Commission,Yes,13117130101,2175,Tract,2020,"Census Tract 1301.01, Forsyth County",5315,1365,10.09232,526.6,281241336.075928,84425.7769535108
1228,Atlanta Regional Commission,Yes,13117130509,2206,Tract,2020,"Census Tract 1305.09, Forsyth County",4154,768,3.788751,1096.4,105577848.236816,54551.1822394651
1229,Atlanta Regional Commission,Yes,13117130204,2183,Tract,2020,"Census Tract 1302.04, Forsyth County",6846,896,6.676275,1025.4,186047466.801025,66307.3310246279
1230,River Valley,No,13053020201,1331,Tract,2020,"Census Tract 202.01, Chattahoochee County",2999,837,2.491305,1203.8,69405370.5673828,37455.0724654774
1231,Atlanta Regional Commission,Yes,13117130410,2194,Tract,2020,"Census Tract 1304.10, Forsyth County",8079,856,4.546026,1777.2,126680100.555664,69196.659206767
1232,Atlanta Regional Commission,Yes,13117130601,2209,Tract,2020,"Census Tract 1306.01, Forsyth County",5976,609,6.71537,889.9,187129402.611572,74315.1174226351
1233,Northeast Georgia,No,13059002200,1411,Tract,2020,"Census Tract 22, Clarke County",2647,365,0.709753,3729.5,19779471.5107422,20946.3176476988
1234,Northeast Georgia,No,13059030200,1414,Tract,2020,"Census Tract 302, Clarke County",5235,700,1.733981,3019.1,48323500.6870117,31633.2179205891
1235,Northeast Georgia,No,13059130400,1416,Tract,2020,"Census Tract 1304, Clarke County",6821,868,5.453363,1250.8,151973794.604248,54957.8098809246
1236,Atlanta Regional Commission,Yes,13117130302,2186,Tract,2020,"Census Tract 1303.02, Forsyth County",8914,862,4.653696,1915.5,129681456.996826,51256.7608380189
1237,Atlanta Regional Commission,Yes,13117130608,2216,Tract,2020,"Census Tract 1306.08, Forsyth County",6017,559,3.366401,1787.4,93805994.5126953,51611.1127352296
1238,Atlanta Regional Commission,Yes,13117130201,2180,Tract,2020,"Census Tract 1302.01, Forsyth County",5949,776,14.796888,402,412344543.057373,100069.542609642
1239,Atlanta Regional Commission,Yes,13117130103,2177,Tract,2020,"Census Tract 1301.03, Forsyth County",4965,627,9.252189,536.6,257831027.586182,78009.7068050391
1240,Atlanta Regional Commission,Yes,13117130102,2176,Tract,2020,"Census Tract 1301.02, Forsyth County",2356,223,5.327423,442.2,148457850.488281,72220.3720646396
1241,Atlanta Regional Commission,Yes,13117130202,2181,Tract,2020,"Census Tract 1302.02, Forsyth County",5784,961,6.020848,960.7,167780989.718262,63939.1085476429
1242,Atlanta Regional Commission,Yes,13117130203,2182,Tract,2020,"Census Tract 1302.03, Forsyth County",5554,615,12.171764,456.3,339188512.756104,92006.8205142565
1243,Atlanta Regional Commission,Yes,13117130406,2192,Tract,2020,"Census Tract 1304.06, Forsyth County",7150,850,2.770741,2580.5,77209509.1176758,44281.7158026904
1244,Atlanta Regional Commission,Yes,13117130306,2190,Tract,2020,"Census Tract 1303.06, Forsyth County",4953,584,3.171126,1561.9,88366681.9880371,46095.7842304895
1245,Atlanta Regional Commission,Yes,13117130304,2188,Tract,2020,"Census Tract 1303.04, Forsyth County",5699,536,4.859631,1172.7,135418324.331299,59872.6811570082
1246,Atlanta Regional Commission,Yes,13117130307,2191,Tract,2020,"Census Tract 1303.07, Forsyth County",6126,589,4.763211,1286.1,132732085.335693,52944.1672162083
1247,Atlanta Regional Commission,Yes,13135050542,2735,Tract,2020,"Census Tract 505.42, Gwinnett County",5788,992,1.423226,4066.8,39657704.2385254,32349.621918143
1248,Northeast Georgia,No,13059150600,1429,Tract,2020,"Census Tract 1506, Clarke County",3640,482,1.386062,2626.1,38627585.9855957,26667.4966908584
1249,Northeast Georgia,No,13059140400,1423,Tract,2020,"Census Tract 1404, Clarke County",3586,705,5.405787,663.4,150654196.103516,60079.2582570609
1250,Atlanta Regional Commission,Yes,13121002100,2260,Tract,2020,"Census Tract 21, Fulton County",2474,479,0.307495,8045.7,8567978.88037109,14385.8988181874
1251,Atlanta Regional Commission,Yes,13121002300,2261,Tract,2020,"Census Tract 23, Fulton County",1245,301,0.436096,2854.9,12151328.201416,16945.3259754174
1252,Atlanta Regional Commission,Yes,13121007805,2322,Tract,2020,"Census Tract 78.05, Fulton County",4736,1785,5.881967,805.2,163896658.70166,74127.2010799707
1253,Atlanta Regional Commission,Yes,13121007806,2323,Tract,2020,"Census Tract 78.06, Fulton County",5260,966,1.937042,2715.5,53974085.1855469,39048.2916136589
1254,Atlanta Regional Commission,Yes,13121002400,2262,Tract,2020,"Census Tract 24, Fulton County",2769,499,0.522278,5301.8,14552694.9526367,16475.001137899
1255,Atlanta Regional Commission,Yes,13121002600,2264,Tract,2020,"Census Tract 26, Fulton County",1275,242,0.369354,3452,10291559.3552246,13261.5613306115
1256,Atlanta Regional Commission,Yes,13121003000,2268,Tract,2020,"Census Tract 30, Fulton County",4032,539,0.474053,8505.4,13208869.2233887,17125.6656233735
1257,Atlanta Regional Commission,Yes,13121003100,2269,Tract,2020,"Census Tract 31, Fulton County",2439,426,0.314267,7760.9,8756607.28076172,13045.9083287412
1258,Atlanta Regional Commission,Yes,13121003200,2270,Tract,2020,"Census Tract 32, Fulton County",2569,265,0.414305,6200.7,11544047.7434082,17477.1374921518
